,text,BIO_anno,class,bank_topic
270,能分60期我还想在养养，看看能不能额度再高点，毕竟预审批不一定给九万呢，理想是15万分个60期，差不多就压力不大了...,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2,建设银行
271,卡多不好批??。我15.8额度，申了两次没有批，就因为多头授信。,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,
272,我就一张信用卡一个农商消费贷加一个房贷，准备养养征信在搞工商，现在看到建设分期通还可以啊，毕竟我公积金是建行的，我不玩卡就想备着点银行贷款...,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT O O B-BANK I-BANK O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-BANK I-BANK O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O,2,建设银行
273,怎么开公积金到建行的,O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-BANK I-BANK O,2,建设银行
274,也不一定。我卡都5张了，还有借呗，信用卡都用了不少，也没说多头授信,O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O B-PRODUCT I-PRODUCT,2,建设银行
275,我让建行查原因，就是多头授信,O O B-BANK I-BANK O O O O O O O O B-PRODUCT I-PRODUCT,2,建设银行
276,等额度上去再搞吧,O B-COMMENTS_N I-COMMENTS_N O O O O O,2,建设银行
277,我分期通预审批连续三个月涨额度75k-167k，工资卡建行，流水也在建行，两行卡没网贷,O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O B-BANK I-BANK O B-COMMENTS_N I-COMMENTS_N O O B-BANK I-BANK O O O O O B-PRODUCT I-PRODUCT,2,建设银行
278,装修贷款我也能批，但是要回房贷地去走流程，繁琐，不如分期通好，利率都是0025左右吧，目前我分期通是004,O O B-PRODUCT I-PRODUCT O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O,2,建设银行
279,我分期通这个月刚降息，0.25，之前0.4,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-COMMENTS_ADJ O O O O O O O O O O O O,2,建设银行
280,我021的还没降，这几天看论坛才知道025了，你需要钱的话可以试试，利息应该很低了，最重要可以分60期,O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O,2,建设银行
281,看自己的需求，或者两者都申请?,O O O O O O O O O O O O O O O,2,建设银行
282,卡很难批。?我申请了15.8的名额，但是两次都没批，只是因为,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O,2,建设银行
283,不一定。?我卡有5本，借了很多贷卡。,O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2,建设银行
284,怎么给建行开公积金,O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT,2,建设银行
285,卖了，9个月了，没还什么金额,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,建设银行
286,公司开了，额度随便提啊，哈哈哈,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O,2,
287,我找建行了解原因，就是多次贷款不批。不到申请,O O B-BANK I-BANK O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O,2,建设银行
288,名额上去了再说。,O O O O O O O O,2,建设银行
289,严格风险控制,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2,建设银行
290,最近一直游过来游过去。是在吊我吧，浦发,O O O O O O O O O O O O O O O O O B-BANK I-BANK,2,
291,试试啊，试完回来告诉我们下，我也想知道分期，手续费贵不贵,O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ O B-COMMENTS_ADJ,2,
292,首卡不可以,B-PRODUCT I-PRODUCT O O O,2,建设银行
293,开通了，良民证加人脸识别开通了，在掌上生活直接开通,O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O,2,
294,试，试完了再告诉我们，,O O O O O O O O O O O,2,
295,去网点。?网点办信用卡很靠谱,O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
296,行卡但是不能,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,建设银行
297,为啥不是ems用这无语挂号信！邮政储蓄就是坑,O O O O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O O O,2,
298,明天就到了，兴业的效率还可以,O O O O O O B-BANK I-BANK O O O O O O,2,
299,不会吧？真的，我当时临时想刷个钱交通死活不同意啊,O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O,2,
300,曲线成功了？,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,建设银行
301,同广东路线一样我建行下了三张都是4～5天到,O O O O O O O O B-BANK I-BANK O O O O O O O O O O O,2,建设银行
302,快了,B-COMMENTS_ADJ O,2,建设银行
303,哈哈哈，江高那里是个坑，最能拖了,O O O O O O O O O O B-COMMENTS_ADJ O B-COMMENTS_ADJ O O O,2,建设银行
304,可以自己出钱用更快的快递服务。,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,2,建设银行
305,哈哈哈哈啊哈嘿，我的额度提了一倍,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O,2,
306,挂号信虽然慢，但是时间长啊,O O O O O B-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ O,2,建设银行
307,狗日的江高,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,0,建设银行
308,小病也刷不了多少钱，无所谓，但是大病，刷大金额银行就要颤抖了，银行会认为，这客户是不是得了不治之症啊，那钱就要打水漂啦，赶紧降额！！！;P...,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O,2,建设银行
309,可以啊，只是没积分而已,O O O O O O O B-PRODUCT I-PRODUCT O O,2,建设银行
310,你把卡绑老马或者小马然后扫不香嘛？拿着卡到医院刷卡那算公益类消费一分没有！记住走线上扫码！,O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O,2,建设银行
311,只要是正规真实合法商户，除了风险投资类和房产类以外刷什么都可以！,O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O,2,建设银行
312,可以刷，不给刷可以投诉他，保留好发票，降额了可以投诉银行，我一个客户交住院押金4万隔了3个月银行降额，投诉成功，因为他这张卡都是真实消费，我们当地银保监要求银行恢...,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O,0,建设银行
313,可以，但是没积分，我前边光大的医院刷了10W，本来半年稳定提一次，结果导致1年半不给提,O O O O O O B-PRODUCT I-PRODUCT O O O O B-BANK I-BANK O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O,2,建设银行
314,直接医院刷10w？那会不会被建行查呀,O O O O O O O O O O O O O O B-BANK I-BANK O O,2,
315,你废行额度真高呀,O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,建设银行
316,废废居然成了你额度最高的卡。我是不会消废废的总是在我困难的时候没有断过财智金??而且利息还能接受。四大是好可是四大的一万也不能顶2万用。论高额度卡的重要性，真...,O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O,2,
317,刷空还上再刷空,O O O O O O O,2,建设银行
318,可以刷，银行赚不到钱，去医院都不是什么好事，现实的社会，以后提额难,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT B-COMMENTS_ADJ,2,建设银行
319,太狠了你这。要被你玩废了,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O,0,建设银行
320,这预审批可以冲下大山白,O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O B-PRODUCT I-PRODUCT I-PRODUCT,2,建设银行
321,100k预审批？这么牛的，bilibili卡，全球支付白，芭比白，Joy卡都可以刷免，只有大山白和挚爱卡是刚性年费,O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N,2,建设银行
322,有小白金，好像是刷12笔免年费,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,建设银行
323,名字叫什么，在哪里申请呢，我看额度还可以啊,O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
324,年费头铁，有没有刷几笔免年费的白金卡呢？,B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-PRODUCT I-PRODUCT I-PRODUCT O O,2,建设银行
325,支付白，芭比白？,B-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT O,2,建设银行
326,支付白是哪个？全球支付好像只有普通版，没有白金版的呀？？不懂在哪里,B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2,建设银行
327,全球支付是N个账户么？,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O O,2,建设银行
328,你看下有没有预审批,O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N,2,建设银行
329,希望不大，征信里面还能查到这些逾期记录的话还是别申请了，基本不会过,O O O O O B-PRODUCT I-PRODUCT O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O,2,建设银行
330,玖富不是撤了征信么，可以看看,B-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT O O O O O O,2,建设银行
331,什么时候开始撤的？老哥你咋这么机智,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
332,没看论坛么，很多人的征信没结清的都撤了，具体原因众说纷纭。。。。就一个星期前的事,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,建设银行
333,你他行信用卡有逾期人行的征信记录肯定有影响，很难办下来。,O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O O B-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2,建设银行
334,看你资质怎么样，资质没问题的话，贷款问题不大,O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O,2,
335,路过看看哈，能提额还是提吧,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O,2,
336,看有没有前置,O O O O O O,2,建设银行
337,各位以后切记不要尝试咯，花费几百大洋测试底线没有必要，还是按照银行的要求来吧，这样不会被坑,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ,2,
338,超过5行，建行很难提,O O O O O B-BANK I-BANK O B-COMMENTS_ADJ O,2,建设银行
339,招行：young卡45K,B-BANK I-BANK O O O O O O O O O O,2,建设银行
340,55K额度都用不了，其实你不用太在意额度的,O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,建设银行
341,分期没有,B-PRODUCT I-PRODUCT O O,2,建设银行
342,这操作会被盯上的，销卡咋办,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2,
343,建行5万后很难提额了，出临时有什么意义呢，和固定没什么关系,B-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O,0,建设银行
344,建行108k,B-BANK I-BANK O O O O,2,
345,就是想有个好的开端,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,1,建设银行
346,前几天现金分期27.5Ｋ，之前还有个10Ｋ，打算这次弄完还没有动静就搞其它银行，还完后丢一边去,O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,建设银行
347,我做过2次现金分期，特么钱一直在储蓄卡里，发风险短信来说我违规操作。。立马打电话过去怼，现在打过来要办业务的，通通怼回去。恶心...,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,0,建设银行
348,七行，建行重新新户申请，下卡4.5，原来是1.0，还涨了额度,O O O B-BANK I-BANK O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O B-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N,2,建设银行
349,四行也没用，去年和前年我只有两行卡工商和建设，没逾期没小贷无负债连临时都没有，还特意养了几个月征信，4年没提。所以今年直接下了猴子和恒丰，爱提不提。...,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-BANK I-BANK O B-BANK I-BANK O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O O O O,2,建设银行
350,你是真损，哈哈哈哈哈,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,2,建设银行
351,因为任务量暴增了，不放水上面的kpi也完不成嘛。,O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O,2,建设银行
352,二卡还好吧，我三卡通过的。二卡汽车卡单标,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT,2,建设银行
353,我也是，二卡汽车卡年费才交，看见双标活动就办了三卡，又是200年费。早知道直接办双标,O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-PRODUCT I-PRODUCT,2,建设银行
354,你办的交通银行的信用卡是怎么通过的？,O O O B-BANK I-BANK I-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O,2,
355,专项积分怎么搞，刷卡就能搞到吗？,O O B-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O,2,建设银行
356,就有卡通道直接申请，没提交其它材料,O O O O O O O O O O O O O O O O O,2,建设银行
357,有卡通道在哪里,O O O O O O O,2,建设银行
358,是不是没有建行储蓄卡？看进度和这个字面显示的意思我个人理解是让你本人先去网点完成面签（即所谓银行的三亲见，保证是本人申请）然后再制卡邮寄...,O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,建设银行
359,额度怎么看？,B-COMMENTS_N I-COMMENTS_N O O O O,2,建设银行
360,已有六行还能下小建啊,O O O O O O O O O O,2,
361,对啊，之前卡少的时候申请也不过搞不懂…,O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O,2,建设银行
362,果然限制只对于我们这些凡人你这种102k授信的大佬好像可以为所欲为,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O,2,建设银行
363,你这是建行首卡吗？已经几行信用卡了？,O O O B-BANK I-BANK B-PRODUCT I-PRODUCT O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O,2,建设银行
364,我有储蓄卡??都是直接邮寄给我的,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O,2,
365,现在跑步还来得及吗,O O O O O O O O O,2,建设银行
366,亏你还是金卡,B-COMMENTS_ADJ O O O B-PRODUCT I-PRODUCT,2,建设银行
367,我11行能申请建行吗,O O O O O O O B-BANK I-BANK O,2,建设银行
368,稳了我感觉最低都有3.8万以上,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O,2,建设银行
369,额度报喜,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ,1,建设银行
370,这额度怎么算的？,O B-COMMENTS_N I-COMMENTS_N O O O O O,2,建设银行
371,建设喜欢平均额度高一点点但是一般不会仿别的银行的！你卡额度不低一般都会在我说的那个额度浮动吧！不过你也可能像别的卡友下卡6万以上！！今天去面签看下吧...,B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O,2,建设银行
372,有储蓄卡，不过一直都没用就是了,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O,2,建设银行
373,我有储蓄卡??都不用面签了,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O,2,
374,是的过了面签等收卡手机APP上激活昨天刚操作完,O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O,2,建设银行
375,面签完是不是就可以看到额度了？,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2,建设银行
376,是的，APP上能看到额度,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,建设银行
377,快贷有额度就很容易过，,B-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,建设银行
378,看了你帖子大概率要套路。。,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,0,建设银行
379,代发这么高额度怕个毛,O O O O B-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ O O,2,建设银行
380,我有额度就没过，下款才查征信，有一点毛病就拒的你怀疑人生,O O B-PRODUCT I-PRODUCT O O O O O O O O B-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ O O O O O O,0,建设银行
381,不过不上征信吗？没敢试,O O O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ O,2,建设银行
382,你下过你应该知道呀，过不过都是一次贷款查询,O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O,2,建设银行
383,快贷很少套路的，利率还低,B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ,0,建设银行
384,我才3400,O B-COMMENTS_ADJ O O O O,2,建设银行
385,怕个卵。。,B-COMMENTS_ADJ O O O O,2,建设银行
386,我和你一样，申请吧，反正我没申请下来，你看下能有多少额度,O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,
387,代发工资就是叼，难怪额度这么高,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ,2,
388,不容易过。,B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O,2,建设银行
389,负债高征信花过不了，点一次上一次征信！我也是代发工资！有额度用不了,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ B-PRODUCT I-PRODUCT O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O,2,建设银行
390,失败！点,B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,建设银行
391,关键这个月查询多，大数据都花了，以前下款的时候没有这些网贷,O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT,2,建设银行
392,代发就能过啊？那说明是资质不错的，一般银行都会批信用卡的,O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O,2,
393,楼主什么资质，额度这么高,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O,2,
394,建行没什么套路信用卡别太多了就行,B-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2,建设银行
395,只会锦上添花，不会雪中送炭,O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,0,建设银行
396,快贷没什么不良记录基本都会过,B-PRODUCT I-PRODUCT O O O O O O O O O O O O,2,建设银行
397,没逾期，网贷多，花的不能再花了,O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT B-COMMENTS_ADJ O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2,建设银行
398,有公积金吗，额度多少，我这39000.明天到期，不知道还了还能不能出额度,O B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N,2,建设银行
399,套路了,B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,建设银行